id,question,ground_truth,anchor,source,is_negative,expected_ids_512,expected_ids_256,relevant
q_016,What was the purpose of the Pirs module on the ISS?,"Pirs served as the primary Russian airlock on the station, being used to store and refurbish the Russian Orlan spacesuits.",primary Russian airlock on the station,International_Space_Station.pdf,False,['International_Space_Station_chunk_31'],['International_Space_Station_chunk_66'],
q_018,What did the Event Horizon Telescope image confirm about Sagittarius A*?,It confirmed that Sagittarius A* is a black hole.,it is indeed a black hole,Black_hole.pdf,False,['Black_hole_chunk_35'],['Black_hole_chunk_71'],
q_019,What is spin-down luminosity in neutron stars?,"Spin-down luminosity is the calculated loss rate of rotational energy in neutron stars, represented by the symbol (E-dot).","spindown luminosity , which is given",Neutron_star.pdf,False,['Neutron_star_chunk_21'],['Neutron_star_chunk_38'],
q_021,What cultural significance does Argentine pizza hold in Buenos Aires?,Argentine pizza is regarded as a cultural heritage and icon of Buenos Aires.,cultural heritage and icon of the city,Pizza.pdf,False,['Pizza_chunk_10'],['Pizza_chunk_24'],
q_022,Who is the current commander of the crew?,Jessica Meir is the current commander.,"Jessica Meir, current commander",International_Space_Station.pdf,False,['International_Space_Station_chunk_44'],['International_Space_Station_chunk_93'],
q_025,What notable entertainment events did Augustus stage in Rome?,"Augustus staged gladiatorial bouts, lion hunts, and a mock naval battle.",provided grand spectacles in Rome,Augustus.pdf,False,['Augustus_chunk_47'],['Augustus_chunk_103'],
q_026,How does the GDNP algorithm modify batch normalization?,The GDNP algorithm slightly modifies the batch normalization step for ease of mathematical analysis.,modifies the batch normalization step,Batch_normalization.pdf,False,['Batch_normalization_chunk_9'],['Batch_normalization_chunk_17'],
q_029,What was a major breakthrough in the Transformer architecture?,"The major breakthrough was self-attention, enabling the model to capture global dependencies.",the major breakthrough came with self-attention,Attention_(machine_learning).pdf,False,['Attention_(machine_learning)_chunk_2'],['Attention_(machine_learning)_chunk_4'],
q_030,What is one example of scripted behavior in web pages?,"Loading new web page content without reloading the page, via Ajax or a WebSocket.",Loading new web page content,JavaScript.pdf,False,['JavaScript_chunk_5'],['JavaScript_chunk_12'],
q_032,What was the role of gladiators in Roman spectacles?,"Gladiators were trained combatants who might be slaves, convicts, or free volunteers.",trained combatants who might be slaves,Roman_Empire.pdf,False,['Roman_Empire_chunk_43'],['Roman_Empire_chunk_87'],
q_033,Why were Crispus and Fausta executed?,Crispus and Fausta were executed due to their immoralities and possibly to secure Constantine's control over his heirs.,killed Crispus and Fausta for their immoralities,Constantine_the_Great.pdf,False,['Constantine_the_Great_chunk_35'],['Constantine_the_Great_chunk_65'],
q_034,What is the moisture content of dried pasta?,The moisture content of dried pasta is typically around 12%.,moisture content of dried pasta is typically around 12%,Pasta.pdf,False,['Pasta_chunk_12'],['Pasta_chunk_23'],
q_035,What is the significance of the 2:3 resonance for plutinos like Pluto?,The 2:3 resonance allows plutinos to avoid colliding with Neptune despite having orbits that cross its path.,2:3 (or 3:2) resonance,Kuiper_belt.pdf,False,['Kuiper_belt_chunk_11'],['Kuiper_belt_chunk_22'],
q_036,What are some common sources of stress for astronauts in space?,"Common sources of stress include isolation from peers and family, public scrutiny, and living in cramped conditions with diverse cultures and languages.",Common sources of stress in early US missions,International_Space_Station.pdf,False,['International_Space_Station_chunk_64'],['International_Space_Station_chunk_133'],
q_037,What was the size of Hannibal's army when he entered Gaul?,"Hannibal entered Gaul with 40,000 foot soldiers and 12,000 horsemen.","Hannibal reportedly entered Gaul with 40,000 foot soldiers and 12,000 horsemen.",Hannibal.pdf,False,['Hannibal_chunk_8'],['Hannibal_chunk_16'],
q_040,What are some common features assessed in generative pre-trained transformer models?,"Common features include accuracy, robustness, bias, and toxicity.",accuracy on standard datasets,Generative_pre-trained_transformer.pdf,False,['Generative_pre-trained_transformer_chunk_6'],['Generative_pre-trained_transformer_chunk_13'],
q_042,What does the Jaccard index measure?,The Jaccard index quantifies the similarity between two datasets.,quantify the similarity between two datasets,Cluster_analysis.pdf,False,['Cluster_analysis_chunk_17'],['Cluster_analysis_chunk_36'],
q_044,What is the formula for escape speed from a celestial body?,Escape speed is given by the formula involving the universal gravitational constant G and the mass M of the body.,Escape speed at a distance d,Escape_velocity.pdf,False,['Escape_velocity_chunk_1'],['Escape_velocity_chunk_3'],
q_046,What is the purpose of the International Docking Adapter (IDA)?,The IDA converts APAS-95 to the NASA Docking System (NDS).,convert APAS-95 to the NASA Docking System,International_Space_Station.pdf,False,['International_Space_Station_chunk_24'],['International_Space_Station_chunk_52'],
q_047,When was Windows 10 officially announced for retail purchase?,"Windows 10 was officially announced on July 29, 2015.",officially announced that Windows 10,Windows_10.pdf,False,['Windows_10_chunk_6'],['Windows_10_chunk_12'],
q_049,What is the composition of Mars's atmosphere?,Mars's atmosphere is composed mostly of carbon dioxide.,atmosphere composed mostly of carbon dioxide,Solar_System.pdf,False,['Solar_System_chunk_18'],['Solar_System_chunk_39'],
q_050,What was the primary function of the velites in the Roman army during the Mid Republic?,"The primary function of the velites was to act as skirmishers and javelin-throwers, engaging the enemy early to harass them or cover troop movements.",act as skirmishers - javelin-throwers,Roman_legion.pdf,False,['Roman_legion_chunk_6'],['Roman_legion_chunk_12'],
q_051,What role did the triarii play in the Roman army during the Mid Republic?,"The triarii were veteran soldiers used in extreme situations, serving as reserves or barrier troops behind the hastati and principes.",served primarily as reserves or barrier troops,Roman_legion.pdf,False,['Roman_legion_chunk_7'],['Roman_legion_chunk_14'],
q_052,Which planets have the highest albedos at optical and near-infrared wavelengths?,"Venus, Uranus, Jupiter, Neptune, Saturn, Earth, Titan, HD 189733b, and Mars.",the highest albedos at most,Exoplanet.pdf,False,['Exoplanet_chunk_19'],['Exoplanet_chunk_36'],
q_053,What elements enrich Mars's core?,"Mars's core is enriched in light elements such as sulfur, oxygen, carbon, and hydrogen.",enriched in light elements such as sulfur,Mars.pdf,False,['Mars_chunk_6'],['Mars_chunk_14'],
q_055,What is the status quo bias?,"Status quo bias is the tendency to hold to the current situation rather than an alternative situation, to avoid risk and loss.",Tendency to hold to the current situation,Cognitive_bias.pdf,False,['Cognitive_bias_chunk_7'],['Cognitive_bias_chunk_13'],
q_056,What is the title of the 1947 paper by Clemence?,"The title is ""The Relativity Effect in Planetary Motions"".",The Relativity Effect in Planetary Motions,Solar_System.pdf,False,['Solar_System_chunk_150'],[],
q_057,What was introduced in 2017 that improved NLP models?,The transformer architecture was introduced in 2017.,the transformer architecture for deep learning,Generative_pre-trained_transformer.pdf,False,['Generative_pre-trained_transformer_chunk_1'],['Generative_pre-trained_transformer_chunk_2'],
q_059,What algorithm is commonly used to minimize error in neural networks?,Gradient descent is commonly used to minimize error.,commonly used algorithm to find,Backpropagation.pdf,False,['Backpropagation_chunk_7'],['Backpropagation_chunk_14'],
q_060,What is a neutron star and how is it formed?,"A neutron star is formed from the gravitational collapse of a massive supergiant star after a supernova explosion, compressing the core to atomic nuclei density.",gravitationally collapsed core,Neutron_star.pdf,False,['Neutron_star_chunk_0'],['Neutron_star_chunk_0'],
q_062,What strategic maneuver did the Rhodian navy use against Hannibal's fleet?,The Rhodian navy used the diekplous manoeuvre to heavily damage Hannibal's warships.,the diekplous manoeuvre,Hannibal.pdf,False,['Hannibal_chunk_26'],['Hannibal_chunk_53'],
q_063,What significant event occurred in 221 BC involving Hannibal?,Hannibal was proclaimed commander-in-chief by the army after Hasdrubal's assassination.,,,False,"['Hannibal_chunk_5', 'Hannibal_chunk_37']","['Hannibal_chunk_11', 'Hannibal_chunk_76']","[{'source': 'Hannibal.pdf', 'anchor': 'proclaimed commander-in-chief'}, {'source': 'Hannibal.pdf', 'anchor': '221 BC – Hasdrubal assassinated'}]"
q_064,What ultimately happened to Licinius after his surrender to Constantine?,Licinius was arrested and hanged after being accused of plotting against Constantine.,arrested and hanged; Licinius,Constantine_the_Great.pdf,False,['Constantine_the_Great_chunk_27'],['Constantine_the_Great_chunk_50'],
q_066,How does gradient boosting improve its predictions?,Gradient boosting improves predictions by adding new estimators to correct the errors of its predecessors.,correct the errors of its predecessor,Gradient_boosting.pdf,False,['Gradient_boosting_chunk_1'],['Gradient_boosting_chunk_3'],
q_067,What was the outcome of the Roman campaign against the Kingdom of Kush led by Gaius Petronius?,The campaign resulted in a peace treaty that established Maharraqa as the new border with Kush and guaranteed peaceful trade relations.,guaranteed peaceful trade relations,Augustus.pdf,False,['Augustus_chunk_37'],['Augustus_chunk_81'],
q_069,What is the structure of a feedforward neural network?,"A feedforward neural network has layers arranged where the bottom layers address raw data and the top layers reveal final results, with intermediate layers increasing abstraction.",Nodes are arranged in layers,Neural_network_(machine_learning).pdf,False,['Neural_network_(machine_learning)_chunk_12'],['Neural_network_(machine_learning)_chunk_22'],
q_071,Who was the first Roman emperor to convert to Christianity?,Constantine I was the first Roman emperor to convert to Christianity.,,,False,"['Constantine_the_Great_chunk_0', 'Byzantine_Empire_chunk_4']","['Constantine_the_Great_chunk_0', 'Byzantine_Empire_chunk_8']","[{'source': 'Constantine_the_Great.pdf', 'anchor': 'first Roman emperor to convert'}, {'source': 'Byzantine_Empire.pdf', 'anchor': 'first Roman emperor to convert'}, {'source': 'Roman_Empire.pdf', 'anchor': 'first Roman emperor to convert'}]"
q_072,What is the estimated age of our galactic disk based on the white dwarf luminosity function?,The estimated age of our galactic disk is 8 billion years.,an estimate for the age of our galactic disk,White_dwarf.pdf,False,['White_dwarf_chunk_13'],['White_dwarf_chunk_26'],
q_073,What did Giordano Bruno propose about stars and planets?,Giordano Bruno proposed that fixed stars are similar to the Sun and are likewise accompanied by planets.,fixed stars are similar to the Sun,Exoplanet.pdf,False,['Exoplanet_chunk_7'],['Exoplanet_chunk_13'],
q_074,What significant action did Theodosius I take regarding paganism during his reign?,Theodosius I actively condemned paganism.,actively condemned paganism,Byzantine_Empire.pdf,False,['Byzantine_Empire_chunk_5'],['Byzantine_Empire_chunk_10'],
q_078,What color was Augustus's hair according to scientific analysis?,Augustus most likely had naturally light brown hair.,had naturally light brown hair,Augustus.pdf,False,['Augustus_chunk_54'],['Augustus_chunk_117'],
q_079,What new functionality does Python 3.15 introduce for imports?,Python 3.15 introduces a lazy import functionality using a new keyword.,The lazy keyword works with both import,Python_(programming_language).pdf,False,['Python_(programming_language)_chunk_8'],['Python_(programming_language)_chunk_17'],
q_080,What is the support lifecycle for Windows 11 Home and Pro editions?,The support lifecycle for Windows 11 Home and Pro editions is two years.,two years for the Home and Pro editions,Windows_11.pdf,False,['Windows_11_chunk_18'],['Windows_11_chunk_38'],
q_081,What significant religious position did Caesar hold during Cinna's dominance?,Caesar was named as flamen Dialis (a priest of Jupiter).,flamen Dialis (a priest of Jupiter),Julius_Caesar.pdf,False,['Julius_Caesar_chunk_3'],['Julius_Caesar_chunk_6'],
q_082,What city did Hannibal fail to control after capturing it in 212 BC?,Hannibal failed to obtain control of Tarentum's harbor.,failed to obtain control of its harbor,Hannibal.pdf,False,['Hannibal_chunk_20'],['Hannibal_chunk_41'],
q_083,What type of planetary system is the Solar System classified as?,The Solar System is classified as an ordered system.,The Solar System is an ordered system,Solar_System.pdf,False,['Solar_System_chunk_13'],['Solar_System_chunk_27'],
q_084,What is the purpose of dividing attention weights by the square root of the key vectors' dimension?,It stabilizes gradients during training.,stabilizes gradients during training,Transformer_(deep_learning).pdf,False,['Transformer_(deep_learning)_chunk_15'],['Transformer_(deep_learning)_chunk_29'],
q_086,What is the release timeframe for Windows 11 version 26H2?,Late 2026 is the release timeframe for Windows 11 version 26H2.,Release.μarch = Late 2026,Windows_11.pdf,False,['Windows_11_chunk_19'],['Windows_11_chunk_40'],
q_087,What is purity in the context of clustering?,Purity is a measure of the extent to which clusters contain a single class.,measure of the extent to which clusters,Cluster_analysis.pdf,False,['Cluster_analysis_chunk_16'],['Cluster_analysis_chunk_33'],
q_088,When did the first pizzeria open in the United States?,The first pizzeria in the US was opened in 1905.,first pizzeria in the US was opened,Pizza.pdf,False,['Pizza_chunk_9'],['Pizza_chunk_22'],
q_089,What is the hypothesized influence on extreme trans-Neptunian objects' orbits?,"Some astronomers suggest it may be due to a large planet beyond Neptune, termed Planet Nine.",influence of a large planet,Solar_System.pdf,False,['Solar_System_chunk_31'],['Solar_System_chunk_67'],
q_090,What was the role of the Aquilifer in a Roman legion?,"The Aquilifer was the standard bearer of the legion, carrying the aquila (eagle) and held a prestigious position with a duty to protect the standard.",the legion's standard - or aquila,Roman_legion.pdf,False,['Roman_legion_chunk_17'],['Roman_legion_chunk_34'],
q_093,What is the expiration date for Windows 10 Enterprise 2021 LTSC support?,"Supported until January 12, 2027.","Supported until January 12, 2027",Windows_10.pdf,False,['Windows_10_chunk_26'],['Windows_10_chunk_53'],
q_094,What is the relationship between Pluto and Neptune in terms of their orbits?,"Pluto has a 2:3 resonance with Neptune, meaning that Pluto orbits twice around the Sun for every three Neptunian orbits.",Pluto has a 2:3 resonance with Neptune,Solar_System.pdf,False,['Solar_System_chunk_27'],['Solar_System_chunk_59'],
q_neg_01,What is the maximum payload weight of the James Webb Space Telescope?,The provided corpus does not contain information to answer this question.,,,True,[],[],
q_neg_02,How many total miles of fiber optic cable were laid in Tokyo during 2023?,The provided corpus does not contain information to answer this question.,,,True,[],[],
q_neg_03,What was the main recipe ingredient for medieval Scandinavian mead in the 12th century?,The provided corpus does not contain information to answer this question.,,,True,[],[],
q_neg_04,Which quantum computing algorithm was used by IBM to achieve quantum supremacy in 2025?,The provided corpus does not contain information to answer this question.,,,True,[],[],
q_neg_05,What are the official rules for playing underwater rugby in the European Championship?,The provided corpus does not contain information to answer this question.,,,True,[],[],
